"exam_id","major_category","middle_category","minor_category","detail_category","prompt_file","created_at","updated_at","question_set_size"
"it_passport","テクノロジ系","基礎理論","アルゴリズムとプログラミング","プログラム言語","it_passport_technology.txt","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z",
"it_passport","テクノロジ系","基礎理論","アルゴリズムとプログラミング","その他の言語","it_passport_technology.txt","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z",
"it_passport","テクノロジ系","コンピュータシステム","コンピュータ構成要素","プロセッサ","it_passport_technology.txt","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z",
"it_passport","テクノロジ系","コンピュータシステム","コンピュータ構成要素","メモリ","it_passport_technology.txt","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z",
"it_passport","テクノロジ系","コンピュータシステム","コンピュータ構成要素","入出力デバイス","it_passport_technology.txt","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z",
"it_passport","テクノロジ系","コンピュータシステム","システム構成要素","システムの構成","it_passport_technology.txt","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z",
"it_passport","テクノロジ系","コンピュータシステム","システム構成要素","システムの評価指標","it_passport_technology.txt","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z",
"it_passport","テクノロジ系","コンピュータシステム","ソフトウェア","オペレーティングシステム","it_passport_technology.txt","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z",
"it_passport","テクノロジ系","コンピュータシステム","ソフトウェア","ファイルシステム","it_passport_technology.txt","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z",
"it_passport","テクノロジ系","コンピュータシステム","ソフトウェア","オフィスツール","it_passport_technology.txt","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z",
"it_passport","テクノロジ系","コンピュータシステム","ソフトウェア","オープンソースソフトウェア","it_passport_technology.txt","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z",
"it_passport","テクノロジ系","コンピュータシステム","ハードウェア","ハードウェア（コンピュータ・入出力装置）","it_passport_technology.txt","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z",
"it_passport","テクノロジ系","技術要素","情報デザイン","情報デザイン","it_passport_technology.txt","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z",
"it_passport","テクノロジ系","技術要素","情報デザイン","インタフェース設計","it_passport_technology.txt","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z",
"it_passport","テクノロジ系","技術要素","情報メディア","マルチメディア技術","it_passport_technology.txt","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z",
"it_passport","テクノロジ系","技術要素","情報メディア","マルチメディア応用","it_passport_technology.txt","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z",
"it_passport","テクノロジ系","技術要素","データベース","データベース方式","it_passport_technology.txt","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z",
"it_passport","テクノロジ系","技術要素","データベース","データベース設計","it_passport_technology.txt","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z",
"it_passport","テクノロジ系","技術要素","データベース","データ操作","it_passport_technology.txt","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z",
"it_passport","テクノロジ系","技術要素","データベース","トランザクション処理","it_passport_technology.txt","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z",
"it_passport","テクノロジ系","技術要素","ネットワーク","ネットワーク方式","it_passport_technology.txt","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z",
"it_passport","テクノロジ系","技術要素","ネットワーク","通信プロトコル","it_passport_technology.txt","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z",
"it_passport","テクノロジ系","技術要素","ネットワーク","ネットワーク応用","it_passport_technology.txt","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z",
"it_passport","テクノロジ系","技術要素","セキュリティ","情報セキュリティ","it_passport_technology.txt","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z",
"it_passport","テクノロジ系","技術要素","セキュリティ","情報セキュリティ管理","it_passport_technology.txt","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z",
"it_passport","テクノロジ系","技術要素","セキュリティ","情報セキュリティ対策・情報セキュリティ実装技術","it_passport_technology.txt","2026-07-08T00:00:00.000Z","2026-07-08T00:00:00.000Z",
"it_passport","その他","その他","その他","その他",,"2026-07-09T00:00:00.000Z","2026-07-09T00:00:00.000Z",
"fe","テクノロジ系","基礎理論","基礎理論","離散数学","fe.txt","2026-07-09T00:00:00.000Z","2026-07-09T00:00:00.000Z",
"fe","テクノロジ系","基礎理論","基礎理論","応用数学","fe.txt","2026-07-09T00:00:00.000Z","2026-07-09T00:00:00.000Z",
"fe","テクノロジ系","基礎理論","基礎理論","情報に関する理論","fe.txt","2026-07-09T00:00:00.000Z","2026-07-09T00:00:00.000Z",
"fe","テクノロジ系","基礎理論","基礎理論","通信に関する理論","fe.txt","2026-07-09T00:00:00.000Z","2026-07-09T00:00:00.000Z",
"fe","テクノロジ系","基礎理論","基礎理論","計測・制御に関する理論","fe.txt","2026-07-09T00:00:00.000Z","2026-07-09T00:00:00.000Z",
"fe","テクノロジ系","基礎理論","アルゴリズムとプログラミング","データ構造","fe.txt","2026-07-09T00:00:00.000Z","2026-07-09T00:00:00.000Z",
"fe","テクノロジ系","基礎理論","アルゴリズムとプログラミング","アルゴリズム","fe.txt","2026-07-09T00:00:00.000Z","2026-07-09T00:00:00.000Z",
"fe","テクノロジ系","基礎理論","アルゴリズムとプログラミング","プログラミング","fe.txt","2026-07-09T00:00:00.000Z","2026-07-09T00:00:00.000Z",
"fe","テクノロジ系","基礎理論","アルゴリズムとプログラミング","プログラム言語","fe.txt","2026-07-09T00:00:00.000Z","2026-07-09T00:00:00.000Z",
"fe","テクノロジ系","基礎理論","アルゴリズムとプログラミング","その他の言語","fe.txt","2026-07-09T00:00:00.000Z","2026-07-09T00:00:00.000Z",
"fe","テクノロジ系","コンピュータシステム","コンピュータ構成要素","プロセッサ","fe.txt","2026-07-09T00:00:00.000Z","2026-07-09T00:00:00.000Z",
"fe","テクノロジ系","コンピュータシステム","コンピュータ構成要素","メモリ","fe.txt","2026-07-09T00:00:00.000Z","2026-07-09T00:00:00.000Z",
"fe","テクノロジ系","コンピュータシステム","コンピュータ構成要素","バス","fe.txt","2026-07-09T00:00:00.000Z","2026-07-09T00:00:00.000Z",
"fe","テクノロジ系","コンピュータシステム","コンピュータ構成要素","入出力デバイス","fe.txt","2026-07-09T00:00:00.000Z","2026-07-09T00:00:00.000Z",
"fe","テクノロジ系","コンピュータシステム","コンピュータ構成要素","入出力装置","fe.txt","2026-07-09T00:00:00.000Z","2026-07-09T00:00:00.000Z",
"fe","テクノロジ系","コンピュータシステム","システム構成要素","システムの構成","fe.txt","2026-07-09T00:00:00.000Z","2026-07-09T00:00:00.000Z",
"fe","テクノロジ系","コンピュータシステム","システム構成要素","システムの評価指標","fe.txt","2026-07-09T00:00:00.000Z","2026-07-09T00:00:00.000Z",
"fe","テクノロジ系","コンピュータシステム","ソフトウェア","オペレーティングシステム","fe.txt","2026-07-09T00:00:00.000Z","2026-07-09T00:00:00.000Z",
"fe","テクノロジ系","コンピュータシステム","ソフトウェア","ミドルウェア","fe.txt","2026-07-09T00:00:00.000Z","2026-07-09T00:00:00.000Z",
"fe","テクノロジ系","コンピュータシステム","ソフトウェア","ファイルシステム","fe.txt","2026-07-09T00:00:00.000Z","2026-07-09T00:00:00.000Z",
"fe","テクノロジ系","コンピュータシステム","ソフトウェア","開発ツール","fe.txt","2026-07-09T00:00:00.000Z","2026-07-09T00:00:00.000Z",
"fe","テクノロジ系","コンピュータシステム","ソフトウェア","オープンソースソフトウェア","fe.txt","2026-07-09T00:00:00.000Z","2026-07-09T00:00:00.000Z",
"fe","テクノロジ系","コンピュータシステム","ハードウェア","ハードウェア","fe.txt","2026-07-09T00:00:00.000Z","2026-07-09T00:00:00.000Z",
"fe","テクノロジ系","技術要素","ユーザーインタフェース","ユーザーインタフェース技術","fe.txt","2026-07-09T00:00:00.000Z","2026-07-09T00:00:00.000Z",
"fe","テクノロジ系","技術要素","ユーザーインタフェース","UX/UIデザイン","fe.txt","2026-07-09T00:00:00.000Z","2026-07-09T00:00:00.000Z",
"fe","テクノロジ系","技術要素","情報メディア","マルチメディア技術","fe.txt","2026-07-09T00:00:00.000Z","2026-07-09T00:00:00.000Z",
"fe","テクノロジ系","技術要素","情報メディア","マルチメディア応用","fe.txt","2026-07-09T00:00:00.000Z","2026-07-09T00:00:00.000Z",
"fe","テクノロジ系","技術要素","データベース","データベース方式","fe.txt","2026-07-09T00:00:00.000Z","2026-07-09T00:00:00.000Z",
"fe","テクノロジ系","技術要素","データベース","データベース設計","fe.txt","2026-07-09T00:00:00.000Z","2026-07-09T00:00:00.000Z",
